Unnamed: 0,SqFtTotLiving,SqFtLot,Bathrooms,Bedrooms,BldgGrade,TrafficNoise,BadFeature,AdjSalePrice,SqFtTotLiving_norm,SqFtLot_norm,AdjSalePrice_norm
0,2400,9373,3.0,6,7,0,0.3355995256088946,3.00805,0.349914339070939,0.6541805992818122,-0.7982370342477545
3,3200,8618,3.75,5,7,0,-0.8491974208508314,4.42065,1.2254068047472149,0.4429098468147082,-0.309216933950415
4,1720,8620,1.75,4,7,0,-1.342891531725016,2.97065,-0.3942542567538955,0.4434695044371376,-0.8111843312540695
5,930,1012,1.5,2,8,0,-0.3767416690761186,4.11781,-1.258803066609218,-1.6854680912843556,-0.4140554212603727
7,1860,14659,1.75,4,7,0,-1.8493823388157125,3.49489,-0.2410430752605472,2.133355695362755,-0.6297006151420227
8,990,5324,1.0,2,6,3,-0.0561879659084165,2.31239,-1.1931411316834972,-0.4788462573265377,-1.0390636822534514
9,1980,10585,2.0,4,6,0,-0.6435460421113283,4.63148,-0.1097192054091058,0.9933331184740376,-0.2362308743824636
10,840,12750,1.0,2,6,0,-0.4228724044429562,1.60236,-1.357295968997799,1.5991624947538787,-1.2848650002586333
11,1750,5200,1.0,3,7,1,2.042062616343436,3.72178,-0.3614232892910352,-0.5135450299171613,-0.5511548339184185
12,790,5240,1.0,2,6,1,-0.9834758792678876,3.15175,-1.412014248102566,-0.5023518774685731,-0.7484903342529027
13,790,5240,1.0,2,6,1,1.494007828866564,3.27739,-1.412014248102566,-0.5023518774685731,-0.7049957247375709
14,2120,7320,2.75,3,8,0,0.0702354908798262,6.34754,0.0434919760842424,0.0796920498580181,0.3578423475602324
15,2620,3485,1.5,4,7,0,0.0321206246102269,4.32352,0.5906747671319148,-0.9934514411503844,-0.3428418258815212
16,1500,5253,1.75,3,6,0,0.5616100601471579,5.05014,-0.6350146848148713,-0.4987141029227819,-0.0912973084823615
17,2070,4600,2.25,3,7,0,-0.899885290837399,5.02857,-0.0112263030205248,-0.6814423166459858,-0.0987645062477683
20,1530,3296,2.5,3,8,0,0.8808527349837593,5.38921,-0.602183717352011,-1.046339086469964,0.0260834400719488
21,1530,3696,2.5,3,8,0,0.5068928161250247,5.18725,-0.602183717352011,-0.9344075619840811,-0.0438319637621518
22,2780,13349,2.5,3,10,1,-1.7687822301946052,8.02796,0.7657732602671701,1.7667799526714885,0.9395775570616166
